rubro	producto	facturacion	unidades	precio
Pastas	Gnocchi rellenos	22400	1	14200
Panadería y dulces	Scons	22400	4	5600
Sándwiches	Panini Caprese	22000	2	11000
Desayuno y merienda	Energético	22000	2	11000
Cafetería	Capuchino doble Proteico	21900	3	7300
Bebidas	Jugo Natural Grande Naranja	21900	3	7300
Pastas	Cappelletti	21600	1	15400
Pastas	Spaghetti integral (de espinaca)	21600	1	13400
Vinos y cervezas	San Felipe Extra Brut (750cc)	21500	1	21500
Pastas	Penne Rigatti	21400	1	13600
Entradas	Papas Fritas (Provenzal o regular)	21200	2	10600
Ensaladas	Madero con Langostinos	21000	1	21000
Hamburguesas	Doble Burger	20800	1	20800
Pastas	Ravioles de Verdura	20600	1	14400
Empanadas	Empanada Caprese	20400	6	3400
Sándwiches	Sándwich de Pan de Molde de Jamón Cocido	19600	2	9800
Vinos y cervezas	Chandon Extra Brut	19600	2	9800
Tortas	Clásico Balcarce	19400	2	9700
Bebidas	Limonada con Menta y Jengibre	19200	3	6400
Entradas	Romana Rabas (con salsa Provenzal)	18500	1	18500
Panadería y dulces	Huevos revueltos, panceta / pan de campo	17800	2	8900
Hamburguesas	Blue-Burger	17200	1	17200
Empanadas	Empanada de Queso y Cebolla	17000	5	3400
Panadería y dulces	Cuadradito: Crumble Manzana	16800	3	5600
Bebidas	Jugo Natural Chico Naranja / Limón	16200	3	5400
Cafetería	Café con Leche en Tazón	15900	3	5300
Ensaladas	Zen Antioxidante	15800	1	15800
Entradas	Mozzarella Flor di Latte	15400	1	15400
Ensaladas	Pampeana	15400	1	15400
Entradas	Nachos Mex	14600	1	14600
Sándwiches	Panini de Pollo	14600	1	14600
Sándwiches	Panini Pollo	14600	1	14600
Vinos y cervezas	Uxmal Red Blend	14000	1	14000
Entradas	Bruschetta Tradicional	13800	1	13800
Cafetería	Calypso	13200	2	6600
Bebidas	Agua Mineral Sin Gas (Villavicencio)	12600	3	4200
Bebidas	Sprite	12600	3	4200
Cafetería	Chocolate Caliente (Temporada Invernal)	11400	2	5700
Tablas	Cazuela Individual	11200	1	11200
Panadería y dulces	Pasta Frola Membrillo	11200	2	5600
Panadería y dulces	Medialuna de jamón y queso	11200	2	5600
Sándwiches	Panini de Vegetales	11000	1	11000
Sándwiches	Panini Vegetales	11000	1	11000
Panadería y dulces	Alfajores de Maizena (con Dulce de leche)	10800	2	5400
Entradas	Papa Puré	10500	1	10500
Bebidas	Agua Saborizada We by Ser	10500	3	3500
Entradas	Huevos x 2 (fritos o duros)	10400	1	10400
Hora dulce	Crepe de Dulce de Leche (con o sin)	10200	1	10200
Hora dulce	Frutillas con Crema	10200	1	10200
Sándwiches	Sándwiches de Miga Especiales de Jamón y/o Queso (x3)	9500	1	9500
Tortas	Brownie, Dulce de Leche y Merengue	9000	1	9000
Bebidas	Milk shake (Vainilla o Chocolate o Americana con leche)	8700	1	8700
Tortas	Rogel de Dulce de Leche	8600	1	8600
Panadería y dulces	Tostado de jamón y queso	8500	1	8500
Bebidas	Tónica Schweppes	8400	2	4200
Desayuno y merienda	Casual	7600	1	7600
Desayuno y merienda	Madero	7500	1	7500
Bebidas	Licuado Multifruta	7500	1	7500
Vinos y cervezas	Cerveza Warsteiner	7100	1	6000
Bebidas	Agua Saborizada We by Ser (Citrus, Limón)	7000	2	3500
Bebidas	Licuado (banana o durazno o frutilla o ananá o naranja)	7000	1	7000
Entradas	Fainá (porción)	6600	2	3300
Cafetería	Percanta	6600	1	6600
Cafetería	Carajillo	6600	1	6600
Cafetería	Le France	6600	1	6600
Cafetería	Café Latte	6600	1	6600
Cafetería	Peach Ice Tea	6600	1	6600
Panadería y dulces	Alfajores de Coco (con Dulce de leche)	6200	1	6200
Panadería y dulces	Tostadas Pan Sin Gluten c/ Dulce de Leche	6200	1	6200
Cafetería	Capuchino doble	6200	1	6200
Bebidas	Limonada	6000	1	6000
Panadería y dulces	Budín: Nuez	5800	1	5800
Panadería y dulces	Cuadradito: Brownie	5800	1	5800
Panadería y dulces	Cookie: Manzana, Canela y Almendras	5600	1	5600
Bebidas	Jugo de Naranja	5400	1	5400
Bebidas	Coca-Cola Light	4200	1	4200
Bebidas	Agua Saborizada Levite (Pomelo, Naranja Dulce, Manzana Cero)	4200	1	4200
Cafetería	Café Macchiatto	3500	1	3500
